Instance,AverageCost,StandardDeviation,MinCost,MaxCost
eil51,439.2142543019452,4.52900210412832,429.11793919982534,447.55506628113943
eil76,566.7863221119152,5.725580651456123,556.575785202117,576.9575582380126
eil101,673.196285426781,10.946064869564188,654.3614203519742,701.0991314609427
st70,707.6285876254915,15.843468382847568,684.9192568499625,744.1292323877268
kroA100,22796.793484833488,660.4017627486585,21558.637818867002,23919.208130062383
kroC100,22288.39506601665,800.9999125079137,20881.613630232234,23857.785358579546
kroD100,22877.033262747304,628.1676794953288,21876.18473952645,24731.308304275775
lin105,15615.220530620234,449.4859482310903,14778.513163660225,16442.725388391296
