run,evaluations,best_so_far
1,37514,441.0
1,37540,441.0
1,37568,441.0
1,37582,441.0
1,37596,441.0
1,37612,441.0
1,37626,441.0
1,37640,441.0
1,37670,441.0
1,38441,441.0
1,38455,441.0
1,38457,441.0
1,38477,441.0
1,38491,441.0
1,38493,441.0
1,38509,441.0
1,38511,441.0
1,38525,441.0
1,38541,441.0
1,38569,441.0
1,38583,441.0
1,38585,441.0
1,38599,441.0
1,38629,441.0
1,38661,441.0
1,38687,441.0
1,38705,441.0
1,38721,441.0
1,38749,456.0
1,38765,456.0
1,38781,456.0
1,38809,456.0
1,38823,456.0
1,38837,456.0
1,38871,456.0
1,38901,456.0
1,38919,456.0
1,38933,456.0
1,38965,456.0
1,38981,456.0
1,38995,456.0
1,39023,456.0
1,39037,456.0
1,39067,456.0
1,39093,476.0
1,39109,476.0
1,39123,476.0
1,39139,476.0
1,39155,476.0
1,39169,478.0
1,39187,478.0
1,39215,478.0
1,39241,478.0
1,39263,478.0
1,39277,478.0
1,39303,478.0
1,39333,478.0
1,39361,480.0
1,39391,480.0
1,39417,487.0
1,39433,487.0
1,39435,487.0
1,39451,487.0
1,39479,487.0
1,39511,487.0
1,39513,487.0
1,39527,487.0
1,39541,487.0
1,39555,487.0
1,39585,487.0
1,39599,487.0
1,39601,487.0
1,39629,522.0
1,39631,522.0
1,39659,522.0
1,39673,522.0
1,39687,522.0
1,39717,522.0
1,39735,522.0
1,39751,522.0
1,39767,522.0
1,39797,522.0
1,39825,522.0
1,39841,540.0
1,39867,540.0
1,39883,540.0
1,39911,540.0
1,39925,540.0
1,39939,540.0
1,39967,540.0
1,39995,540.0
1,40023,540.0
1,40037,540.0
1,40039,540.0
1,40065,540.0
1,40091,540.0
1,40109,540.0
1,40111,540.0
1,40141,540.0
1,40157,540.0
1,40171,540.0
1,40187,540.0
1,40201,540.0
1,40215,540.0
1,40229,540.0
1,40257,540.0
1,40283,540.0
1,40299,540.0
1,40313,540.0
1,40343,540.0
1,40359,540.0
1,40373,540.0
1,40401,540.0
1,40415,540.0
1,40431,540.0
1,40451,540.0
1,40465,540.0
1,40479,540.0
1,40509,540.0
1,40535,540.0
1,40551,540.0
1,40553,540.0
1,40583,540.0
1,40585,540.0
1,40587,540.0
1,40603,540.0
1,40637,540.0
1,40659,540.0
1,40673,540.0
1,40687,540.0
1,40713,540.0
1,40727,540.0
1,40741,540.0
1,40767,540.0
1,40781,540.0
