run,evaluations,best_so_far
1,4446,315.0
1,4448,315.0
1,4450,315.0
1,4887,315.0
1,4903,315.0
1,4917,328.0
1,4943,328.0
1,4961,328.0
1,4977,328.0
1,4979,328.0
1,5007,338.0
1,5039,338.0
1,5069,338.0
1,5097,338.0
1,5125,343.0
1,5139,343.0
1,5155,343.0
1,5183,343.0
1,5199,343.0
1,5229,343.0
1,5231,343.0
1,5247,343.0
1,5261,346.0
1,5277,346.0
1,5291,357.0
1,5319,357.0
1,5333,361.0
1,5359,361.0
1,5373,361.0
1,5387,361.0
1,5405,361.0
1,5419,368.0
1,5433,368.0
1,5449,368.0
1,5465,368.0
1,5479,368.0
1,5493,368.0
1,5521,383.0
1,5547,383.0
1,5575,383.0
1,5589,383.0
1,5605,383.0
1,5607,383.0
1,5635,383.0
1,5667,388.0
1,5693,388.0
1,5707,388.0
1,5709,388.0
1,5725,388.0
1,5743,388.0
1,5771,388.0
1,5797,389.0
1,5827,389.0
1,5845,389.0
1,5859,389.0
1,5873,389.0
1,5887,389.0
1,5915,389.0
1,5929,389.0
1,5961,389.0
1,5989,389.0
1,6005,389.0
1,6021,389.0
1,6047,393.0
1,6049,393.0
1,6063,393.0
1,6077,393.0
1,6093,393.0
1,6109,393.0
1,6127,393.0
1,6143,393.0
1,6169,397.0
1,6195,397.0
1,6221,398.0
1,6247,398.0
1,6279,398.0
1,6307,398.0
1,6309,398.0
1,6337,398.0
1,6355,398.0
1,6371,398.0
1,6385,398.0
1,6399,398.0
1,6413,404.0
1,6441,404.0
1,6455,404.0
1,6457,404.0
1,6485,405.0
1,6487,405.0
1,6501,408.0
1,6531,408.0
1,6561,408.0
1,6577,408.0
1,6593,408.0
1,6607,408.0
1,6609,408.0
1,6623,408.0
1,6651,408.0
1,6653,408.0
1,6667,408.0
1,6683,408.0
1,6699,408.0
1,6715,408.0
1,6729,408.0
1,6755,408.0
1,6771,408.0
1,6799,408.0
1,6815,408.0
1,6829,408.0
1,6861,408.0
1,6877,408.0
1,6879,408.0
1,6893,408.0
1,6923,408.0
1,6949,419.0
1,6951,419.0
1,6979,419.0
1,6995,419.0
1,6997,419.0
1,6999,419.0
1,7025,419.0
1,7051,419.0
1,7065,419.0
1,7095,419.0
1,7123,419.0
1,7137,419.0
1,7153,419.0
1,7181,419.0
1,7183,419.0
1,7211,422.0
1,7243,422.0
1,7245,422.0
1,7259,422.0
1,7287,422.0
1,7301,422.0
1,7329,422.0
1,7343,422.0
1,7357,422.0
1,7371,422.0
1,7399,422.0
1,7427,422.0
1,7441,422.0
1,7443,422.0
1,7445,422.0
1,7459,422.0
1,7473,422.0
1,7489,422.0
1,7503,422.0
1,7519,422.0
1,7533,422.0
1,7559,422.0
1,7561,422.0
1,7587,422.0
1,7615,422.0
1,7631,422.0
1,7663,422.0
1,7691,422.0
1,7725,422.0
1,7745,422.0
1,7775,422.0
1,7777,422.0
1,7805,422.0
1,7819,422.0
1,7845,422.0
1,7873,422.0
1,7899,422.0
1,7901,422.0
1,7935,422.0
1,7961,422.0
1,7975,422.0
1,8001,422.0
1,8015,422.0
1,8041,422.0
1,8057,422.0
1,8085,422.0
1,8101,422.0
1,8127,422.0
1,8143,422.0
1,8145,422.0
1,8171,422.0
1,8197,422.0
1,8211,422.0
1,8245,422.0
1,8263,422.0
1,8265,422.0
1,8291,422.0
1,8293,422.0
1,8307,422.0
1,8333,422.0
1,8363,422.0
1,8383,422.0
1,8411,422.0
1,8439,422.0
1,8455,422.0
1,8469,423.0
1,8497,423.0
1,8525,423.0
1,8555,423.0
1,8581,428.0
1,8583,428.0
1,8613,428.0
1,8627,428.0
1,8641,428.0
1,8655,428.0
1,8669,428.0
1,8685,428.0
1,8699,428.0
1,8713,428.0
1,8727,428.0
1,8743,428.0
1,8757,428.0
1,8771,428.0
1,8801,428.0
1,8833,428.0
1,8847,428.0
1,8873,428.0
1,8899,428.0
1,8901,428.0
1,8917,428.0
1,8943,428.0
1,8969,428.0
1,8971,428.0
1,8987,428.0
1,9003,428.0
1,9035,428.0
1,9037,428.0
1,9053,428.0
1,9079,428.0
1,9095,428.0
1,9109,428.0
1,9123,428.0
1,9137,428.0
1,9151,428.0
1,9179,429.0
1,9193,429.0
1,9219,429.0
1,9221,429.0
1,9237,429.0
1,9251,429.0
1,9253,429.0
1,9269,429.0
1,9289,429.0
1,9303,429.0
1,9333,429.0
1,9349,429.0
1,9363,429.0
1,9395,429.0
1,9421,429.0
1,9447,429.0
1,9449,429.0
1,9477,429.0
1,9505,429.0
1,9535,429.0
1,9537,429.0
1,9563,429.0
1,9593,429.0
1,9611,429.0
1,9613,429.0
1,9645,429.0
1,9659,429.0
1,9673,429.0
1,9699,429.0
1,9725,429.0
1,9751,429.0
1,9781,429.0
1,9811,429.0
1,9813,429.0
1,9841,429.0
1,9867,429.0
1,9881,429.0
1,9897,429.0
1,9933,429.0
1,9949,429.0
1,9963,429.0
1,9979,429.0
1,9993,429.0
1,10009,429.0
1,10037,429.0
1,10063,429.0
1,10089,429.0
1,10117,429.0
1,10137,429.0
1,10151,429.0
1,10169,429.0
1,10189,429.0
1,10203,429.0
1,10205,429.0
1,10207,429.0
1,10233,429.0
1,10247,429.0
1,10261,429.0
1,10293,429.0
1,10307,429.0
1,10333,429.0
1,10347,429.0
1,10361,431.0
1,10375,431.0
1,10377,431.0
1,10391,431.0
1,10419,431.0
1,10445,431.0
1,10459,431.0
1,10475,431.0
1,10489,431.0
1,10503,431.0
1,10517,431.0
1,10543,431.0
1,10573,431.0
1,10587,432.0
1,10617,432.0
1,10649,432.0
1,10675,432.0
1,10689,432.0
1,10703,432.0
1,10705,432.0
1,10719,432.0
1,10745,432.0
1,10771,432.0
1,10797,432.0
1,10799,432.0
1,10815,432.0
1,10829,432.0
1,10859,432.0
1,10861,432.0
1,10891,432.0
1,10905,432.0
1,10921,432.0
1,10937,432.0
1,10953,432.0
1,10983,432.0
1,11009,432.0
1,11037,432.0
1,11053,432.0
