run,evaluations,best_so_far
1,80462,29.539999999999996
1,80476,30.260000000000012
1,80512,30.260000000000012
1,80528,30.260000000000012
1,80530,32.18999999999998
1,84621,32.18999999999998
1,84651,32.18999999999998
1,84665,32.18999999999998
1,84681,32.18999999999998
1,84707,35.94000000000002
1,84725,35.94000000000002
1,84755,35.94000000000002
1,84783,35.94000000000002
1,84799,35.94000000000002
1,84813,35.94000000000002
1,84839,61.19000000000001
1,84855,61.19000000000001
1,84881,61.19000000000001
1,84883,61.19000000000001
1,84909,61.19000000000001
1,84941,61.19000000000001
1,84967,61.19000000000001
1,84983,61.19000000000001
1,84997,61.19000000000001
1,85011,61.19000000000001
1,85013,61.19000000000001
1,85041,61.19000000000001
1,85055,61.19000000000001
1,85069,61.19000000000001
1,85071,61.19000000000001
1,85097,61.19000000000001
1,85111,61.19000000000001
1,85113,61.19000000000001
1,85139,61.19000000000001
1,85169,61.19000000000001
1,85185,61.19000000000001
1,85211,61.19000000000001
1,85225,61.19000000000001
1,85251,61.19000000000001
1,85279,61.19000000000001
1,85299,61.19000000000001
1,85301,61.19000000000001
1,85339,61.19000000000001
1,85365,61.19000000000001
1,85393,61.19000000000001
1,85395,61.19000000000001
1,85397,61.19000000000001
1,85427,71.27999999999997
1,85441,71.27999999999997
1,85443,71.27999999999997
1,85459,71.27999999999997
1,85473,170.74999999999997
1,85489,170.74999999999997
1,85505,172.77999999999997
1,85519,172.77999999999997
1,85545,172.77999999999997
1,85559,172.77999999999997
1,85585,172.77999999999997
1,85601,172.77999999999997
1,85615,172.77999999999997
1,85629,172.77999999999997
1,85645,172.77999999999997
1,85647,172.77999999999997
1,85649,172.77999999999997
1,85681,172.77999999999997
1,85683,172.77999999999997
1,85699,172.77999999999997
1,85713,172.77999999999997
1,85739,172.77999999999997
1,85769,172.77999999999997
1,85797,172.77999999999997
1,85811,173.48000000000005
1,85827,173.48000000000005
1,85853,173.48000000000005
1,85867,173.48000000000005
1,85869,173.48000000000005
1,85883,173.48000000000005
1,85909,173.48000000000005
1,85923,173.48000000000005
1,85953,173.48000000000005
1,85971,173.48000000000005
1,86003,173.48000000000005
1,86017,173.48000000000005
1,86035,173.48000000000005
1,86063,173.48000000000005
1,86079,173.48000000000005
1,86093,173.48000000000005
1,86109,173.48000000000005
1,86123,173.48000000000005
1,86153,173.48000000000005
1,86155,173.48000000000005
1,86181,173.48000000000005
1,86209,173.48000000000005
1,86211,173.48000000000005
1,86237,174.87999999999994
1,86253,174.87999999999994
1,86281,174.87999999999994
1,86307,174.87999999999994
1,86323,174.87999999999994
1,86337,174.87999999999994
1,86339,177.41
1,86357,177.41
1,86359,177.41
1,86361,177.41
1,86375,180.48
1,86395,180.48
1,86409,180.48
1,86423,180.48
1,86437,180.48
1,86453,180.48
1,86483,180.48
1,86485,180.48
1,86511,180.48
1,86541,180.48
1,86557,180.48
1,86571,180.48
1,86585,180.48
1,86615,180.48
1,86617,180.48
1,86635,180.48
1,86649,180.48
1,86675,180.48
1,86691,180.48
1,86725,180.48
1,86727,180.48
1,86755,180.48
1,86769,180.48
1,86795,180.48
1,86823,180.48
1,86825,180.48
1,86841,180.48
1,86855,180.48
1,86869,180.48
1,86895,180.48
1,86897,180.48
1,86925,180.48
1,86953,180.48
1,86955,180.48
1,86987,180.48
1,87017,180.48
1,87045,180.48
1,87079,205.33000000000007
1,87109,205.33000000000007
1,87125,205.33000000000007
1,87151,205.33000000000007
1,87177,207.22000000000003
1,87203,207.22000000000003
1,87219,207.22000000000003
1,87249,207.22000000000003
1,87251,207.22000000000003
1,87279,207.22000000000003
1,87307,207.22000000000003
1,87321,210.16999999999996
1,87349,210.16999999999996
1,87377,210.16999999999996
1,87391,210.16999999999996
1,87405,210.16999999999996
1,87419,210.16999999999996
1,87435,210.16999999999996
1,87465,210.16999999999996
1,87481,210.16999999999996
1,87497,210.16999999999996
1,87525,210.16999999999996
1,87539,210.16999999999996
1,87553,210.16999999999996
1,87555,210.16999999999996
1,87581,210.16999999999996
1,87583,210.16999999999996
1,87585,210.16999999999996
1,87613,210.16999999999996
1,87645,210.16999999999996
1,87647,210.16999999999996
1,87661,210.16999999999996
1,87689,210.16999999999996
1,87717,210.16999999999996
1,87745,210.16999999999996
1,87775,210.16999999999996
1,87791,210.16999999999996
1,87807,210.16999999999996
1,87821,210.16999999999996
1,87855,210.16999999999996
1,87873,210.16999999999996
1,87887,210.16999999999996
1,87889,210.16999999999996
1,87915,210.16999999999996
1,87929,210.16999999999996
1,87947,210.16999999999996
1,87961,210.16999999999996
1,87975,210.16999999999996
1,87989,210.16999999999996
1,87991,210.16999999999996
1,88019,210.16999999999996
1,88039,210.16999999999996
1,88053,210.16999999999996
1,88069,210.16999999999996
1,88085,210.16999999999996
1,88111,210.16999999999996
1,88139,210.16999999999996
1,88173,210.16999999999996
1,88191,210.16999999999996
1,88217,210.16999999999996
1,88231,210.16999999999996
1,88245,210.16999999999996
1,88261,210.16999999999996
1,88289,210.16999999999996
1,88317,210.16999999999996
1,88343,210.16999999999996
1,88371,210.16999999999996
1,88389,210.16999999999996
1,88391,210.16999999999996
1,88405,210.16999999999996
1,88431,210.16999999999996
1,88445,210.16999999999996
1,88471,210.16999999999996
1,88499,210.16999999999996
1,88525,210.16999999999996
1,88555,210.16999999999996
1,88585,210.16999999999996
1,88587,210.16999999999996
1,88615,210.16999999999996
1,88629,210.33999999999992
1,88655,210.33999999999992
1,88671,210.33999999999992
1,88699,210.33999999999992
1,88729,210.33999999999992
1,88731,210.33999999999992
1,88733,210.33999999999992
1,88749,210.33999999999992
1,88765,210.33999999999992
1,88767,210.33999999999992
1,88795,210.33999999999992
1,88809,210.33999999999992
1,88823,210.33999999999992
1,88849,210.33999999999992
1,88879,210.33999999999992
1,88893,216.56
1,88919,216.56
1,88945,218.25999999999993
1,88963,218.25999999999993
1,88977,218.25999999999993
1,88991,218.25999999999993
1,89005,218.25999999999993
1,89033,218.25999999999993
1,89047,218.25999999999993
1,89073,230.78
1,89089,230.78
1,89115,230.78
1,89143,230.78
1,89145,230.78
1,89161,230.78
1,89189,230.78
1,89203,230.78
1,89219,230.78
1,89235,230.78
1,89249,230.78
1,89275,230.78
1,89305,230.78
1,89331,230.78
1,89345,230.78
1,89373,230.78
1,89389,230.78
1,89417,230.78
1,89419,230.78
1,89445,230.78
1,89461,230.78
1,89475,230.78
1,89489,230.78
1,89491,230.78
1,89507,230.78
1,89521,230.78
1,89549,230.78
1,89551,230.78
1,89553,230.78
1,89567,230.78
1,89583,230.78
1,89597,232.71999999999986
1,89613,232.71999999999986
1,89627,232.71999999999986
1,89653,232.71999999999986
1,89681,232.71999999999986
1,89695,232.71999999999986
1,89723,232.71999999999986
1,89725,232.71999999999986
1,89739,232.71999999999986
1,89755,232.71999999999986
1,89785,232.71999999999986
1,89801,232.71999999999986
1,89815,232.71999999999986
1,89831,232.71999999999986
1,89845,232.71999999999986
1,89859,232.71999999999986
1,89861,232.71999999999986
1,89863,232.71999999999986
1,89891,232.71999999999986
1,89917,232.71999999999986
1,89947,232.71999999999986
1,89961,232.71999999999986
1,89979,232.71999999999986
1,90011,232.71999999999986
1,90025,232.71999999999986
1,90053,232.71999999999986
1,90055,232.71999999999986
1,90087,232.71999999999986
1,90103,232.71999999999986
1,90131,247.92000000000013
1,90161,247.92000000000013
1,90193,247.92000000000013
1,90195,247.92000000000013
1,90223,247.92000000000013
1,90225,247.92000000000013
1,90257,247.92000000000013
1,90271,247.92000000000013
1,90297,247.92000000000013
1,90311,247.92000000000013
1,90325,247.92000000000013
1,90343,247.92000000000013
1,90357,247.92000000000013
1,90359,247.92000000000013
1,90361,247.92000000000013
1,90375,247.92000000000013
1,90405,247.92000000000013
1,90419,247.92000000000013
1,90433,247.92000000000013
1,90449,247.92000000000013
1,90467,247.92000000000013
2,80964,28.169999999999987
2,80998,34.34999999999999
2,81026,34.34999999999999
2,81040,34.34999999999999
2,81056,34.34999999999999
2,81084,35.179999999999986
2,81110,35.179999999999986
2,81112,35.179999999999986
2,81140,35.179999999999986
2,81166,47.75000000000001
2,81180,47.75000000000001
2,81196,47.75000000000001
2,81230,47.75000000000001
2,81246,47.75000000000001
2,81260,47.75000000000001
2,81276,47.75000000000001
2,81290,47.75000000000001
2,81316,47.75000000000001
2,81342,47.75000000000001
2,81358,47.75000000000001
2,81360,50.53999999999998
2,81374,50.53999999999998
2,81376,50.53999999999998
2,81406,50.53999999999998
2,81420,50.53999999999998
2,85425,50.53999999999998
2,85451,94.97000000000004
2,85483,94.97000000000004
2,85485,94.97000000000004
2,85501,94.97000000000004
2,85529,94.97000000000004
2,85543,94.97000000000004
2,85545,94.97000000000004
2,85563,94.97000000000004
2,85577,94.97000000000004
2,85591,94.97000000000004
2,85593,94.97000000000004
2,85623,94.97000000000004
2,85653,94.97000000000004
2,85679,94.97000000000004
2,85693,94.97000000000004
2,85707,94.97000000000004
2,85737,94.97000000000004
2,85763,94.97000000000004
2,85789,94.97000000000004
2,85791,94.97000000000004
2,85805,94.97000000000004
2,85807,94.97000000000004
2,85809,94.97000000000004
2,85825,94.97000000000004
2,85845,94.97000000000004
2,85847,94.97000000000004
2,85861,94.97000000000004
2,85875,94.97000000000004
2,85889,94.97000000000004
2,85891,94.97000000000004
2,85905,94.97000000000004
2,85919,94.97000000000004
2,85935,94.97000000000004
2,85949,94.97000000000004
2,85967,94.97000000000004
