evaluations raw_y
1 2.0000000000
39 3.0000000000
188 5.0000000000
286 6.0000000000
709 7.0000000000
1972 9.0000000000
1982 11.0000000000
10187009 0.0000000000
evaluations raw_y
1 1.0000000000
13 2.0000000000
42 4.0000000000
91 5.0000000000
755 7.0000000000
2035 12.0000000000
10187137 0.0000000000
evaluations raw_y
1 0.0000000000
33 1.0000000000
38 2.0000000000
60 4.0000000000
372 5.0000000000
564 6.0000000000
798 8.0000000000
1390 10.0000000000
1416 12.0000000000
10187975 0.0000000000
evaluations raw_y
1 2.0000000000
58 7.0000000000
96 10.0000000000
10187974 0.0000000000
evaluations raw_y
1 0.0000000000
34 1.0000000000
59 9.0000000000
85 10.0000000000
1206 13.0000000000
1211 14.0000000000
10187426 0.0000000000
evaluations raw_y
1 0.0000000000
94 2.0000000000
117 4.0000000000
146 6.0000000000
506 7.0000000000
1483 9.0000000000
1486 11.0000000000
10187599 0.0000000000
evaluations raw_y
1 0.0000000000
51 1.0000000000
103 2.0000000000
203 5.0000000000
501 7.0000000000
564 11.0000000000
10188441 0.0000000000
evaluations raw_y
1 0.0000000000
13 2.0000000000
205 7.0000000000
233 8.0000000000
261 11.0000000000
284 12.0000000000
10189510 0.0000000000
evaluations raw_y
1 0.0000000000
39 2.0000000000
76 3.0000000000
93 5.0000000000
156 7.0000000000
203 8.0000000000
459 10.0000000000
504 11.0000000000
595 12.0000000000
10187751 0.0000000000
evaluations raw_y
1 1.0000000000
66 2.0000000000
130 3.0000000000
157 4.0000000000
501 6.0000000000
2730 7.0000000000
11200 8.0000000000
10187619 0.0000000000
